id_str,created_at,text,user.screen_name,user.lang,coordinates.coordinates
"927579349116530688","Mon Nov 06 16:52:05 +0000 2017","@TomHall I am very confused by this video, why are these grown men chasing what appears to be a wheel of cheese dow… https://t.co/I60kINYrM2","mitziplayer","en",
"927579364606308352","Mon Nov 06 16:52:08 +0000 2017","RT @CerromeRussell: I'll flip the whole Thanksgiving table over https://t.co/Z7W61ZtCVv","LordTavon","en",
"927579365327626240","Mon Nov 06 16:52:08 +0000 2017","RT @PanidaOil_: ช็อตกระดกขวดนี่แบบ โอ๊ยแจ็คสันกร๊าใจมากเด้อออ ฮืออออ ©852-cheese奶酪 #JacksonWang #GOT7 https://t.co/1tTEQzJmO3","Saturjune","th",
"927579367630344192","Mon Nov 06 16:52:09 +0000 2017","You know, I may not be religious but if I were, my god would be the inventor of cheese.","rachelortell","en",
"927579345052360704","Mon Nov 06 16:52:04 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","moniqueitsel","en",
"927579370486730752","Mon Nov 06 16:52:10 +0000 2017","RT @Kerra_nicoleee: My bf just got chicken alfredo and cheese sticks delivered to my house","ColemanAmason","en",
"927579371078025216","Mon Nov 06 16:52:10 +0000 2017","RT @ItsFoodPorn: Potato Bacon Cheese Ball https://t.co/LqV4NicF7I","Andry1375","uk",
"927579371467976704","Mon Nov 06 16:52:10 +0000 2017","RT @ItsFoodPorn: Potato Bacon Cheese Ball https://t.co/LqV4NicF7I","afxhmn_","en",
"927579371992440833","Mon Nov 06 16:52:10 +0000 2017","RT @ItsFoodPorn: Bacon Egg &amp; Cheese Fried Rice https://t.co/bVkfeeSn0q","ExhibitAsTheyR","en",
"927579372571172864","Mon Nov 06 16:52:10 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","hiimmarinameow","en",
"927579372751605760","Mon Nov 06 16:52:10 +0000 2017","Yup this is exactly what I'm gonna do right now https://t.co/n9ckrXIMg6","vs_787","en",
"927579375121211392","Mon Nov 06 16:52:11 +0000 2017","RT @ItsFoodPorn: Potato Bacon Cheese Ball https://t.co/LqV4NicF7I","Fabul0usgurl","id",
"927579375679229952","Mon Nov 06 16:52:11 +0000 2017","Enter here for your chance to win 1 of 5 weekly $100 Gift Cards from Frigo® Cheese. No purchase necessary. See rules https://t.co/js26YubUKD","scoster1","en",
"927579376874606593","Mon Nov 06 16:52:11 +0000 2017","RT @sweettreatslex: Today's lunch special is our Ultimate Grilled Cheese with melted Swiss, cheddar and pepper jack cheese, tomato and… ","wluLex","en",
"927579383929495552","Mon Nov 06 16:52:13 +0000 2017","“You know a relationship would be nice, but cheese and sticks are good too” @jadahernandezz 😂","carllbarker","en",
"927579385061765120","Mon Nov 06 16:52:13 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","ArielSanson","en",
"927579385888235520","Mon Nov 06 16:52:13 +0000 2017","@Liam_Wattt @joeewebb_ Cheese","TroyMcCaffery1","en",
"927579386475315200","Mon Nov 06 16:52:13 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","xxbriannaxx29","en",
"927579386768969728","Mon Nov 06 16:52:14 +0000 2017","USLA’da bu akşam cheese cake yapıyoruz. 🍰🎂🍰Teşekkürler @didigezer ve @gizemgedk 🍰🍪🍩 Making cheesecake @uslaakademi…… https://t.co/gMoYcZTQu7","cavusoglu","en",
"927579389549797376","Mon Nov 06 16:52:14 +0000 2017","RT @ItsFoodPorn: Cheese and Bacon Fries are what I need right now... https://t.co/1Rf8iZlMpe","aliahaaaa","en",
"927579391621771265","Mon Nov 06 16:52:15 +0000 2017","RT @__tdx: cajun shrimp and spinach mac n cheese 🤤 #notalfredo https://t.co/SMknSn2GsT","_keairalajae","en",
"927579396264865792","Mon Nov 06 16:52:16 +0000 2017","RT @JustAniyah: Butter, cheese,pepper &amp; 🗣SUGARR https://t.co/LcQeHfNb0o","RoyalBoogz","en",
"927579406167564288","Mon Nov 06 16:52:18 +0000 2017","We had so much fun at Chuck E. Cheese again yesterday 🙃","EvelynMarie_13","en",
"927579408780677126","Mon Nov 06 16:52:19 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","Guti_0730","en",
"927579409925545984","Mon Nov 06 16:52:19 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","thaliaapimentel","en",
"927579410231939072","Mon Nov 06 16:52:19 +0000 2017","RT @IAMDJLIVE: If it nuh come from inside di oven unnu can keep it. Wi nuh want it https://t.co/VI0IHSxbye","CcLDN_","en",
"927579411280482305","Mon Nov 06 16:52:19 +0000 2017","RT @__tdx: cajun shrimp and spinach mac n cheese 🤤 #notalfredo https://t.co/SMknSn2GsT","hhaleystevens","en",
"927579416926019584","Mon Nov 06 16:52:21 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","_dan_jay_","en",
"927579418381504514","Mon Nov 06 16:52:21 +0000 2017","😂 https://t.co/4RgnYJnuAJ","Kemoney0","en",
"927579420537294850","Mon Nov 06 16:52:22 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","ItssYanethYo","en",
"927579417550958592","Mon Nov 06 16:52:21 +0000 2017","Enjoying National Nacho Cheese Day! @mlindsey1223 @BPlantenberg #MWNOV2017 https://t.co/d2lMEILf8D","underhillbk","en",
"927579421816643585","Mon Nov 06 16:52:22 +0000 2017","RT @__tdx: cajun shrimp and spinach mac n cheese 🤤 #notalfredo https://t.co/SMknSn2GsT","sweetnae__","en",
"927579422651072512","Mon Nov 06 16:52:22 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","andreaisnothere","en",
"927579422856753152","Mon Nov 06 16:52:22 +0000 2017","RT @youre_whack: Lie tf again , that shit use to snatch tf out of my tickets ... that’s that new Chuck E Cheese . Cause the old one… ","_YungKeef","en",
"927579424769245184","Mon Nov 06 16:52:23 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","antonelli_24","en",
"927579429265723398","Mon Nov 06 16:52:24 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","Tinathegreat7","en",
"927579430754668544","Mon Nov 06 16:52:24 +0000 2017","RT @FreakNito: The sounds of low key public sex. Sexy young light skin nigga had my pussy sounding like mac n cheese. 💦… ","FreakNito","en",
"927579432595927040","Mon Nov 06 16:52:24 +0000 2017","RT @therealeatwood: Day 1: injected self with mouse DNA\n\nDay 2: ate 12 blocks of cheese\n\nDay 3: 15 blocks\n\nDay 4: experiment is failure; no…","ThePissWizard","en",
"927579436291121161","Mon Nov 06 16:52:25 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","roxxwest","en",
"927579439495614464","Mon Nov 06 16:52:26 +0000 2017","a la vergaaaaa💀 https://t.co/P3l1xImbfs","biaancaabaaby","en",
"927579440477016064","Mon Nov 06 16:52:26 +0000 2017","Song of the White Cheese, a Newly Found Kurt Weill Song, Surprises Experts. Surely it's about Handkäse?  https://t.co/y0OW5w1nca","SloatSJ","en",
"927579444297981952","Mon Nov 06 16:52:27 +0000 2017","RT @HancelPacheco: If I take you to Disneyland we getting married. No mames $100+ para ver una rata. Mejor te llevo a chukee e cheese. La c…","fkavtea","en",
